Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-02-26,Memories of Murder,2003,https://boxd.it/dj5klX,4.5,,,2025-12-01
2026-02-26,No Other Choice,2025,https://boxd.it/dj5km7,5,,,2025-12-07
2026-02-26,Zootopia 2,2025,https://boxd.it/dj5kmh,4,,,2025-12-19
2025-12-31,Zathura: A Space Adventure,2005,https://boxd.it/ckYRnD,4,,,2025-12-30
2026-02-26,The Count of Monte Cristo,2024,https://boxd.it/dj5kmr,5,,,2025-12-30
2026-02-26,The Sixth Sense,1999,https://boxd.it/dj5kmB,5,,,2025-12-30
2026-02-26,Stranger Things 5: The Finale,2025,https://boxd.it/dj5kmL,4,,,2026-01-01
2026-02-26,Citizen Kane,1941,https://boxd.it/dj5kmV,3,,,2026-01-06
2026-02-26,True Grit,1969,https://boxd.it/dj5knf,3.5,,,2026-01-09
2026-02-26,The Wind Rises,2013,https://boxd.it/dj5knp,3.5,,,2026-01-09
2026-02-26,All That's Left of You,2025,https://boxd.it/dj5knz,5,,,2026-01-16
2026-02-26,Saloum,2021,https://boxd.it/dj5knJ,3.5,,,2026-01-17
2026-02-26,How Green Was My Valley,1941,https://boxd.it/dj5kpb,5,,,2026-01-19
2026-01-21,Princess Mononoke,1997,https://boxd.it/cJXGXt,5,,,2026-01-20
2026-02-26,Beau Is Afraid,2023,https://boxd.it/dj5kpl,3,Yes,,2026-01-20
2026-01-24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/cNfVRD,5,,,2026-01-23
2026-02-26,It Was Just an Accident,2025,https://boxd.it/dj5kpv,3,,,2026-02-03
2026-02-26,Okja,2017,https://boxd.it/dj5kpF,3.5,,,2026-02-08
2026-02-26,La Haine,1995,https://boxd.it/dj5kpP,5,,,2026-02-09
2026-02-26,Monster,2023,https://boxd.it/dj5kpZ,3.5,,,2026-02-09
2026-02-26,The Royal Tenenbaums,2001,https://boxd.it/dj5kq9,4,,,2026-02-12
2026-02-26,Lady Vengeance,2005,https://boxd.it/dj5kqj,3.5,,,2026-02-14
2026-02-26,Blue Velvet,1986,https://boxd.it/dj5kqt,5,,,2026-02-15
2026-02-26,Resurrection,2025,https://boxd.it/dj5kqD,5,,,2026-02-15
