Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/cnaDKv,4,,,2026-01-01
2026-01-07,Citizen Kane,1941,https://boxd.it/cuUKQl,3,,,2026-01-06
2026-01-10,True Grit,1969,https://boxd.it/cxwyOh,3.5,,,2026-01-09
2026-01-10,The Wind Rises,2013,https://boxd.it/cxx837,3.5,,,2026-01-09
2026-01-17,All That's Left of You,2025,https://boxd.it/cFSXep,5,,,2026-01-16
2026-01-18,Saloum,2021,https://boxd.it/cGLYvV,3.5,,,2026-01-17
2026-01-20,How Green Was My Valley,1941,https://boxd.it/cIZFqN,5,,,2026-01-19
2026-01-21,Beau Is Afraid,2023,https://boxd.it/cKuH3n,3,Yes,,2026-01-20
2026-02-04,It Was Just an Accident,2025,https://boxd.it/cYtWlP,3,,,2026-02-03
2026-02-09,Okja,2017,https://boxd.it/d2RDaH,3.5,,,2026-02-08
2026-02-10,La Haine,1995,https://boxd.it/d4lUa9,5,,,2026-02-09
2026-02-10,Monster,2023,https://boxd.it/d4lWmB,3.5,,,2026-02-09
2026-02-13,The Royal Tenenbaums,2001,https://boxd.it/d6vS6H,4,,,2026-02-12
2026-02-15,Lady Vengeance,2005,https://boxd.it/d8ez0J,3.5,,,2026-02-14
2026-02-16,Blue Velvet,1986,https://boxd.it/d9lFU7,5,,,2026-02-15
2026-02-16,Resurrection,2025,https://boxd.it/d9md3V,5,,,2026-02-15
2026-02-24,A Dog's Will,2000,https://boxd.it/dhjdZB,5,,,2026-02-23
2026-02-26,A Dog's Will,2000,https://boxd.it/dj5kqN,5,,,2026-02-23
